geoid,longitude,latitude,facility,county,address,city,zip_code,type,residential_wells_sampled,site_lead,site_lead_email,site_lead_phone,hyperlink,location,military,facility_date,site_background,drinking_water_information,anticipated_activities
26081,-85.621686,43.105358,Belmont - House St.,Kent County,1855 House Street,Rockford,49341,Landfill,Yes,Leah Gies,giesl1@michigan.gov,616-215-4781,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/kent-county/house-street-disposal-area,Rockford,No,NA,NA,NA,NA
26081,-85.560182,43.122506,Rockford Tannery,Kent County,123 North Main Street,Rockford,49341,Tannery,No,Leah Gies,giesl1@michigan.gov,616-215-4781,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/kent-county/rockford-tannery,Rockford,No,NA,NA,NA,NA
26039,-84.78779,44.626681,Camp Grayling - Lake Margrethe,Crawford County,Camp Grayling - Lake Margrethe Area,Grayling,49738,Military,Yes,Lisa Kruse,KruseL@Michigan.gov,989-370-1424,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/crawford-county/camp-grayling-lake-margrethe,Grayling,Yes,NA,NA,NA,NA
26103,-87.3873,46.3496,K.I. Sawyer AFB,Marquette County,225 Airport Ave,Gwinn,49841,Military,Yes,Kenneth Heitkamp,HeitkampK@Michigan.gov,517-930-5218,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/marquette-county/ki-sawyer-air-force-base,Gwinn,Yes,2017/10/31 16:00:00+00,NA,NA,NA
26069,-83.353421,44.459534,Wurtsmith AFB,Iosco County,No Address - former Air Force Base,Oscoda,48750,Military,Yes,Amy Handley,HandleyA@Michigan.gov,517-898-3356,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/iosco-county/wurtsmith,Oscoda,Yes,2019/05/01 16:00:00+00,NA,NA,NA
26087,-83.310559,43.03889,Lapeer Plating & Plastics,Lapeer County,395 Demille Road,"Lapeer
",48446,Plating,No,Brian Zuber,ZuberB@Michigan.gov,517-388-0267,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/lapeer-county/lapeer-plating-plastics,Lapeer,No,2017/11/01 00:00:00+00,NA,NA,NA
26065,-84.587871,42.73954,Adams Plating,Ingham County,521 N. Rosemary,Lansing,48917,Plating,No,Mark Reimann,ReimannM@Michigan.gov,517-290-9379,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/ingham-county/adams-plating,Lansing,No,NA,NA,NA,NA
26007,-83.435792,45.07299,Alpena Hide and Leather Co.,Alpena County,817 and 819 W. Miller Street,Alpena,21154,Tannery,No,Janice Adams,AdamsJ1@Michigan.gov,989-619-4211,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/alpena-county/alpena-hide-and-leather,Alpena,No,2018/01/09 17:00:00+00,NA,NA,NA
26069,-83.349011,44.440336,Whispering Pines MHC,Iosco County,4263 Bissonette,Oscoda,48750,Military,Yes,Beth Place,PlaceB1@Michigan.gov,517-899-7524,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/iosco-county/oscoda-area,Oscoda,Yes,NA,NA,NA,NA
26049,-83.683883,43.098026,Coldwater Road Landfill & Peregrine,Genesee County,1245 Coldwater Road,Flint,48458,Landfill,Yes,Nicole Sanabria,SanabriaN@Michigan.gov,517-281-7726,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/genesee-county/coldwater-road-landfill,Flint,No,NA,NA,NA,NA
