geoid,latitude,longitude,system_name,system_type,sample_date,pfhxs_result,pfna_result,hfpoda_result,pfbs_result,hazard_index
39095,41.71704953187812,-83.51507164778828,MONROE SOUTH COUNTY,MUN,2020/12/14 00:00:00+00,0,0,0,0,0
26091,41.730541327368435,-84.21862142604988,Morenci,MUN,2018/08/24 00:00:00+00,0,0,0,0,0
26059,41.73360456396784,-84.4196846141598,Waldron,MUN,2018/10/02 00:00:00+00,0,0,0,0,0
26115,41.73988966383335,-83.56447002775447,Monroe South County,MUN,2018/10/24 00:00:00+00,0,0,0,0,0
26115,41.74203744125939,-83.66499492255367,Bedford Meadows,MUN,2018/07/26 00:00:00+00,0,0,0,0,0
18141,41.745256201613664,-86.22955000914398,ONTARIO PLACE,MUN,2022/08/01 00:00:00+00,0,0,0,4,0.002
18039,41.745309950784936,-85.92792268563234,Linden Mobile Home Park,MUN,2018/08/08 00:00:00+00,0,0,0,0,0
26059,41.75985626654461,-84.77114332520732,Camden,MUN,2018/08/29 00:00:00+00,0,0,0,0,0
26021,41.764807299122666,-86.78268543231103,Michiana,MUN,2018/10/23 00:00:00+00,0,0,0,0,0
26115,41.76481334071036,-83.71446574458892,Whiteford Elem School,SCH,2018/07/26 00:00:00+00,0,0,0,0,0
26149,41.76648233414822,-85.67641921881336,FRESH SOLUTION FARMS,MUN,2021/07/26 14:29:59+00,0,0,0,0,0
26149,41.766775001593736,-85.7770042461179,Banks Hardwoods,INDUS,2019/07/02 00:00:00+00,0,0,0,0,0
26027,41.76711960416207,-86.07874685194673,C & M MOBILE HOME COURT,MUN,2023/03/09 00:00:00+00,0,0,0,3,0.0015
26091,41.770599984420805,-84.01619233736533,Silbond Corporation,INDUS,2019/07/22 00:00:00+00,0,0,0,0,0
26059,41.7810175685051,-84.72039854259171,Camden-Frontier School,SCH,2018/10/02 00:00:00+00,0,0,0,0,0
26021,41.78684824096343,-86.73264295291911,New Buffalo,MUN,2019/04/24 00:00:00+00,0,0,0,0,0
26149,41.78710156219706,-85.42473604984025,Sturgis,MUN,2018/10/05 00:00:00+00,0,0,0,0,0
26021,41.78740243031818,-86.63205778759574,Three Oaks,MUN,2018/07/19 00:00:00+00,0,0,0,0,0
26149,41.788041492255125,-85.62597911282722,White Pigeon,MUN,2018/09/26 00:00:00+00,0,0,0,0,0
26149,41.788378171000986,-85.72659914776631,Interstate Manufacturing Corp.,INDUS,2019/07/02 00:00:00+00,0,0,0,0,0
26027,41.78862593644867,-85.8272176157615,Mills Trailer Court,MUN,2018/07/26 00:00:00+00,0,0,0,0,0
26021,41.78872704921256,-86.22966730200692,Niles Township,MUN,2018/07/19 00:00:00+00,0,0,0,0,0
26027,41.78878474613586,-85.92783409283184,Ameri-Kart,INDUS,2019/07/02 00:00:00+00,0,0,0,0,0
26027,41.78883534137243,-86.12905936273326,Edwardsburg,MUN,2018/08/08 00:00:00+00,0,0,0,0,0
26027,41.788854561061854,-86.0284481501183,Colonial Acres,MUN,2019/06/18 00:00:00+00,0,0,0,0,0
26059,41.79808800307608,-84.36769581946366,HUDSON DAIRY,MUN,2020/10/21 00:00:00+00,0,0,0,0,0
26059,41.80333581171933,-84.77026792671796,Reading,MUN,2018/08/29 00:00:00+00,0,0,0,0,0
26115,41.80398225527879,-83.51162265054515,"BENORE LOGISTIC SYSTEMS, INC.",MUN,2021/06/14 14:29:59+00,0,0,0,0,0
NA,41.80826805841573,-86.78318181704998,New Buffalo,MUN,2021/01/19 00:00:00+00,0,0,0,0,0
26149,41.808550604929366,-85.37419232772147,Sturgis,MUN,2018/10/05 00:00:00+00,0,0,0,0,0
26021,41.808867938680955,-86.68256506620646,CHIKAMING TOWNSHIP,MUN,2020/11/04 00:00:00+00,0,0,0,0,0
26149,41.80910913060502,-85.47484867457598,Memory Lane Mobile Home Park,MUN,2018/09/27 00:00:00+00,0,0,0,0,0
26149,41.80995953346481,-85.6761594920961,Monsanto Seed,INDUS,2019/07/02 00:00:00+00,0,0,0,0,0
26021,41.810131757903655,-86.38068284986689,Buchanan,MUN,2018/07/19 00:00:00+00,0,0,0,0,0
26021,41.81037453537359,-86.28004621685581,Niles,MUN,2018/07/24 00:00:00+00,0,0,0,0,0
26027,41.81045411940921,-85.87746496568411,HIBSHMAN SCREW MACHINE INCORPORATED,MUN,2021/12/01 08:29:59+00,0,0,0,0,0
26091,41.81582773424597,-84.11546091520712,Sand Creek Elementary School,SCH,2018/08/24 00:00:00+00,0,0,0,0,0
26091,41.819070983297735,-84.31678692736659,RATHMOURNE DAIRY LLC-12 MEDINA,MUN,2020/10/21 00:00:00+00,0,0,0,0,0
26059,41.821960831921366,-84.51813061274056,Bird Lake Bible School,SCH,2018/10/02 00:00:00+00,0,0,0,0,0
26149,41.830580355086155,-85.42430504245007,ABBOTT NUTRITION,MUN,2021/08/03 12:00:00+00,0,0,0,0,0
26021,41.83199895182624,-86.3304588961682,Berrien,SCH,2018/08/30 00:00:00+00,0,0,0,0,0
26021,41.83219790267661,-86.22978582814099,Niles,MUN,2018/07/24 00:00:00+00,0,0,0,0,0
26027,41.8323076199729,-86.12910908856908,Marlin Village Mobile Home Park,MUN,2018/09/26 00:00:00+00,0,0,0,0,0
26091,41.833013153714596,-83.86308830844703,Blissfield,MUN,2019/04/29 00:00:00+00,0,0,0,0,0
26059,41.84156511323676,-84.36654647729114,Hudson,MUN,2018/08/27 00:00:00+00,0,0,0,0,0
26059,41.84301041491993,-84.4672524947526,Pittsford High School,SCH,2018/10/02 00:00:00+00,0,0,0,0,0
26059,41.8468151364739,-84.76939169797899,Kimball Camp Ymca Nature Ctr,CHLCMP,2019/05/21 00:00:00+00,0,0,0,0,0
26023,41.84890843348316,-84.97083121519921,Lakeland Elementary School,SCH,2018/10/01 00:00:00+00,0,0,0,0,0
26149,41.85343665535264,-85.67590021102217,Michigan Milk Producers Assoc,INDUS,2020/06/25 00:00:00+00,4,0,0,4,0.402
26021,41.853600253447595,-86.3809053482728,Riverside Estates - Berrien,MUN,2018/07/24 00:00:00+00,0,0,0,0,0
26027,41.8537275854097,-85.7766225622142,Lasalle Boy Scout Camp,CHLCMP,2019/05/14 00:00:00+00,0,0,0,0,0
26021,41.85384463469404,-86.2801998026514,SOUTHTOWN MHP,MUN,2020/10/18 00:00:00+00,0,2.9,0,0,0.29
26027,41.85392939551236,-85.8773431832599,Camp Friedenswald-Boys,CHLCMP,2019/05/14 00:00:00+00,0,0,0,0,0
26027,41.85399970238786,-86.17949038477667,Barron Lake/Rosebush,MUN,2018/07/25 00:00:00+00,0,0,0,0,0
26059,41.86797587761173,-84.71857772393619,Hillside Acres,MUN,2018/08/27 00:00:00+00,0,0,0,0,0
26149,41.87345672574931,-85.32311472200057,Burr Oak,MUN,2018/09/28 00:00:00+00,0,0,0,0,0
26149,41.874059030405824,-85.42387411921644,Amigo Center,CHLCMP,2019/05/14 00:00:00+00,0,0,0,0,0
26115,41.87450780514212,-83.76085420463127,Blissfield,MUN,2021/01/22 00:00:00+00,0,0,0,0,0
26149,41.874572304588334,-85.5246333010559,Pathfinder Center,SCH,2018/09/27 00:00:00+00,0,0,0,0,0
26021,41.87546827196688,-86.33064761735024,Hills Haven Mobile Home Park,MUN,2018/08/30 00:00:00+00,0,0,0,0,0
26021,41.87566875772474,-86.22990557841493,"Paragon Tempered Glass, LLC",INDUS,2019/07/01 00:00:00+00,0,0,0,0,0
26027,41.87580169415039,-86.02841099782906,Barn Swallow Apartments,MUN,2018/09/25 00:00:00+00,0,0,0,0,0
26091,41.878372655878714,-83.9623452814736,Man Nor Farms Subdivision,MUN,2018/08/23 00:00:00+00,0,0,0,0,0
26091,41.880172616727044,-84.06309999002826,"Birth, Toddler And Beyond",DAYCARE,2018/12/03 00:00:00+00,0,0,0,0,0
26059,41.88648798723223,-84.46617009218902,Freedom Farm Christian School,SCH,2018/08/29 00:00:00+00,0,0,0,0,0
26059,41.89029423680759,-84.76851462458593,Camp Selah,CHLCMP,2019/05/21 00:00:00+00,0,0,0,0,0
26023,41.894126124936925,-85.17167477344533,Bronson,MUN,2018/09/14 00:00:00+00,0,0,0,0,0
26149,41.89606596591971,-85.47405553342139,Glen Oaks Community College,SCH,2018/10/04 00:00:00+00,0,0,0,0,0
26021,41.89731474057844,-86.28035467876187,Michiana Christian Serv Camp,CHLCMP,2019/05/13 00:00:00+00,0,0,0,0,0
26027,41.89740462040476,-85.8772221198051,Camp Tannadoonah,CHLCMP,2019/05/14 00:00:00+00,0,0,0,0,0
26027,41.89751617582466,-85.97800952367379,Cass County Water System,MUN,2018/08/06 00:00:00+00,0,0,0,0,0
26027,41.897538406549536,-86.07879437078523,Van Buren-Cass,SCH,2018/08/30 00:00:00+00,0,0,0,0,0
26091,41.90102015377838,-84.0120263992747,Adrian,MUN,2019/04/29 00:00:00+00,0,0,0,0,0
26091,41.902776525661075,-84.11281807801412,Brookdale Adrian,MUN,2018/08/22 00:00:00+00,0,0,0,0,0
26115,41.909182203141526,-83.35612294971048,Monroe,MUN,2019/09/06 00:00:00+00,3,0,0,0,0.3
26059,41.91023003989776,-84.61684844375289,WOODS OF LOCHAVEN,MUN,2021/05/13 00:00:00+00,0,0,0,0,0
26023,41.913637475582625,-84.91930893951563,Cambridge Village,MUN,2018/10/01 00:00:00+00,0,0,0,0,0
26115,41.913756069612475,-83.55769210431968,Ida Strip Mall,DAYCARE,2018/12/05 00:00:00+00,0,0,0,0,0
26023,41.914595524836614,-85.02013359353958,Countryside Mobile Court,MUN,2019/06/18 00:00:00+00,7,0,0,9,0.7044999999999999
26023,41.915464608454556,-85.12095978195944,Avra Estates,MUN,2018/08/28 00:00:00+00,0,0,0,0,0
26149,41.91693568573169,-85.32261504672115,Washburn Lake Village MHP,MUN,2018/09/28 00:00:00+00,0,0,0,0,0
26149,41.91753758444483,-85.42344326735164,Michiana Mobile Home Park,MUN,2018/09/27 00:00:00+00,0,0,0,0,0
26149,41.91805032941364,-85.52427130969791,CENTREVILLE,MUN,2021/01/20 00:00:00+00,3,0,0,0,0.3
26149,41.918808179014825,-85.72592514191356,Camp Wakeshma,CHLCMP,2019/05/21 00:00:00+00,0,0,0,0,0
26091,41.92364608766379,-84.06174262814467,Adrian,MUN,2021/01/22 00:00:00+00,0,0,0,0,0
26059,41.931323368603366,-84.5659331674495,COUNTRY LIVING ADULT FOSTER CARE,MUN,2021/09/15 00:00:00+00,0,0,0,4,0.002
26059,41.93259266291896,-84.66678340437151,Countryside Montessori School,SCH,2018/08/27 00:00:00+00,0,0,0,0,0
26023,41.93486465440954,-84.8684925997805,QUINCY,MUN,2021/05/26 00:00:00+00,0,0,0,2.1,0.0010500000000000002
26023,41.93586724839043,-84.96935070385715,Coldwater,MUN,2018/10/01 00:00:00+00,0,0,0,0,0
26149,41.93954421286918,-85.47365917415033,Pleasant View School,SCH,2018/09/27 00:00:00+00,0,0,0,0,0
26021,41.939773381169985,-86.58302905823395,BRIDGMAN,MUN,2021/01/20 00:00:00+00,0,0,0,2,0.001
26149,41.94001207394503,-85.57452145942536,Three Rivers,MUN,2018/10/03 00:00:00+00,0,0,0,0,0
26149,41.940390652387805,-85.67538293895029,Hickory Lane Mobile Home Park,MUN,2018/09/27 00:00:00+00,0,0,0,0,0
26021,41.94053730306117,-86.38135463813768,Country Acres Homeowners Association,MUN,2018/07/24 00:00:00+00,0,0,0,0,0
26027,41.94067990564763,-85.77624318454869,Camp Wakeshma,CHLCMP,2019/05/21 00:00:00+00,0,0,0,0,0
26021,41.94078485025638,-86.28051083730898,BERRIEN SPRINGS,MUN,2021/06/30 00:00:00+00,0,0,0,2.7,0.00135
26091,41.944492828612944,-84.01063391751639,Lenawee Adult & Pediatric Medicine,MEDCAR,2019/07/22 00:00:00+00,0,0,0,0,0
NA,41.950222596437,-83.25344582929351,Frenchtown Township,MUN,2021/01/22 00:00:00+00,0,0,0,0,0
26059,41.9523941344759,-84.51498415369717,Martinrea North Adams,INDUS,2019/08/01 00:00:00+00,0,0,0,0,0
26059,41.953708132553565,-84.61586704033533,Hillsdale,MUN,2018/08/27 00:00:00+00,0,0,0,2,0.001
26059,41.956069427708705,-84.81764224299422,CON AGRA FOODS,MUN,2020/12/01 00:00:00+00,0,0,0,0,0
26023,41.95807477263242,-85.01942716709273,GRAND VILLAGE MOBILE HOME PARK,MUN,2022/09/08 00:00:00+00,0,0,0,7,0.0035
26149,41.96041450478483,-85.32211528832372,Colon,MUN,2018/09/28 00:00:00+00,0,0,0,0,0
26021,41.96173095775415,-86.5327774508818,LAKE CHARTER TOWNSHIP,MUN,2022/02/09 00:00:00+00,0,0,0,2.2,0.0011
